"ID";"Nombre";"Pilar";"Responsable PC";"Estado";"Etapa";"Impacto";"Avance";"Fecha inicio";"Fecha fin planificada";"Tipo de elemento";"Área impactada";"Macroproceso";"Complejidad";"Prioridad";"Responsable líder";"Equipo responsable";"Requiere capacitación";"Impacto económico";"Resultado esperado";"Actividades";"Registró";"Creado"
"14";"Implementar IA en TI";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"08/07/2026";"21/07/2026";"Tecnología";"Sistemas";"Digitalización y Analítica de Datos";"Media";"Alta";"Kenneth Tercero";"";"No";"No";"";"6";"";"21/08/2026"
"15";"Implementar IA en Comercial (prueba piloto con Materia Prima)";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"08/07/2026";"31/08/2026";"Piloto";"C-MateriaPrima";"Digitalización y Analítica de Datos";"Media";"Alta";"Alan Moscoso";"";"No";"No";"";"10";"";"21/08/2026"
"16";"Torre de Control de Gerencia General";"Transformación Digital";"";"En proceso";"Identificado";"Medio";"40 %";"07/07/2026";"22/09/2026";"Información";"Dirección";"Planificación y Control de la Producción";"Media";"Alta";"Daniel Patiño";"";"No";"No";"";"5";"";"21/08/2026"
"17";"Torre de Control de Vicepresidencia y Dirección Financiera";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"0 %";"13/07/2026";"30/09/2026";"Información";"Dirección";"Planificación y Control Financiero";"Media";"Alta";"Jose Paz";"";"No";"No";"";"1";"";"21/08/2026"
"18";"Universidad Interna de Plásticos Carmen";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"RR.HH";"Gestión del Talento y Capacitación";"Media";"Alta";"Gelica Mejia";"";"No";"No";"";"";"";"21/08/2026"
"19";"Desarrollar un modelo de vista 360 de cartilla de clientes (Materia Prima)";"Transformación Digital";"";"En proceso";"Identificado";"Medio";"25 %";"13/07/2026";"15/10/2026";"Tecnología";"C-MateriaPrima";"Gestión Visual del Desempeño";"Media";"Media";"Enzo Pittari";"";"No";"No";"";"4";"";"21/08/2026"
"20";"Automatización de Cotizaciones de comercialización de materia prima";"Transformación Digital";"";"Concluido";"En implementación";"Medio";"100 %";"24/07/2026";"31/08/2026";"Información";"C-MateriaPrima";"Digitalización y Analítica de Datos";"Media";"Alta";"Enzo Pittari";"";"No";"No";"";"5";"";"21/08/2026"
"23";"Diseñar e implementar una herramienta MRP";"Transformación Digital";"Alan Moscoso";"Concluido";"Priorizado";"Alto";"100 %";"07/09/2026";"31/10/2026";"Iniciativa";"Logística";"Digitalización y Analítica de Datos";"Alta";"Alta";"Jose Paz";"Dante Cadena";"Sí";"Sí";"";"7";"";"21/08/2026"
"24";"Mejorar la herramienta de planilla de Importaciones materia prima/Insumos para el MRP";"Transformación Digital";"Alan Moscoso";"No iniciado";"Identificado";"Alto";"0 %";"14/09/2026";"30/09/2026";"Iniciativa";"Logística";"Digitalización y Analítica de Datos";"Media";"Alta";"Ingrid Pedraza";"Dante Cadena; Alan Moscoso";"No";"Sí";"";"1";"";"21/08/2026"
"25";"Digitalizar la lista maestra de recetas (produccion bolsas) y optimizar la cobertura de recursos y consumo (desperdicio, merma) (Bill of Material)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
